Country,Job_Title,Age_Group,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),26_39,1,0.01%
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),40_65,1,0.01%
Austria,Automatic Data Processing Planner,40_65,2,0.02%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),26_39,1,0.01%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),40_65,1,0.01%
Austria,Clinical Data Specialist,26_39,1,0.01%
Austria,Computer or Data Processing Systems Consultant,26_39,1,0.01%
Austria,Computer or Data Processing Systems Consultant,40_65,2,0.02%
Austria,Crime Data Specialist,40_65,1,0.01%
Austria,Data Administrator,26_39,1,0.01%
Austria,Data Base Design Analyst,26_39,1,0.01%
Austria,Data Base Design Analyst,40_65,1,0.01%
Austria,Data Coder Operator,40_65,1,0.01%
Austria,Data Communications Software Consultant,14_25,1,0.01%
Austria,Data Communications Software Consultant,40_65,1,0.01%
Austria,Data Coordinator,40_65,2,0.02%
Austria,Data Entry Representative,26_39,1,0.01%
Austria,Data Entry Specialist,26_39,1,0.01%
Austria,Data Keyer,40_65,1,0.01%
Austria,Data Management Associate,40_65,1,0.01%
Austria,Data Management Information Technology Specialist,26_39,1,0.01%
Austria,Data Officer,14_25,1,0.01%
Austria,Data Officer,40_65,1,0.01%
Austria,Data Processing Auditor,14_25,3,0.04%
Austria,Data Processing Systems Project Planner,40_65,1,0.01%
Austria,Data Security Analyst,14_25,1,0.01%
Austria,Data Security Analyst,40_65,1,0.01%
Austria,Data Systems Manager,26_39,1,0.01%
Austria,Data Warehouse Developer,40_65,1,0.01%
Austria,Data Warehousing Engineer,14_25,2,0.02%
Austria,Data Warehousing Engineer,26_39,1,0.01%
Austria,Data Warehousing Engineer,40_65,2,0.02%
Austria,Data Warehousing Manager,26_39,1,0.01%
Austria,Database Administration Associate,26_39,1,0.01%
Austria,Database Administration Manager,26_39,1,0.01%
Austria,Database Architect,40_65,1,0.01%
Austria,Database Coordinator,40_65,1,0.01%
Austria,Database Design Analyst,26_39,1,0.01%
Austria,Database Developer,40_65,1,0.01%
Austria,Database Development and Administration Project Manager,14_25,1,0.01%
Austria,Database Engineer,14_25,1,0.01%
Austria,Database Engineer,26_39,1,0.01%
Austria,Database Manager,14_25,1,0.01%
Austria,Database Marketing Analyst,26_39,1,0.01%
Austria,Database Modeler,26_39,1,0.01%
Austria,Database Security Administrator,14_25,1,0.01%
Austria,Database Security Administrator,26_39,1,0.01%
Austria,Database Security Administrator,40_65,1,0.01%
Austria,Database Security Expert,40_65,1,0.01%
Austria,Database Software Technician,14_25,1,0.01%
Austria,Database Software Technician,40_65,1,0.01%
Austria,Databases Computer Consultant,26_39,1,0.01%
Austria,Director of Data Operations,40_65,1,0.01%
Austria,Electronic Data Processing Auditor (EDP Auditor),26_39,1,0.01%
Austria,Field Artillery Automated Tactical Data System Specialist,26_39,1,0.01%
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),26_39,1,0.01%
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),40_65,1,0.01%
Austria,Geographic Information Systems Data Manager (GIS Data Manager),40_65,1,0.01%
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),26_39,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),14_25,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),26_39,2,0.02%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),40_65,1,0.01%
Austria,Internet Database Specialist,14_25,1,0.01%
Austria,Maintenance Data Analyst,40_65,1,0.01%
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",14_25,1,0.01%
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",26_39,1,0.01%
Austria,Unemployed,14_25,22,0.26%
Austria,Unemployed,26_39,26,0.31%
Austria,Unemployed,40_65,11,0.13%
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),40_65,1,0.01%
Belgium,Automatic Data Processing Planner,40_65,2,0.02%
Belgium,Automatic Data Processing Planner (ADP Planner),26_39,1,0.01%
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),40_65,2,0.02%
Belgium,Clinical Data Associate,26_39,1,0.01%
Belgium,Clinical Data Associate,40_65,2,0.02%
Belgium,Clinical Data Coordinator,40_65,1,0.01%
Belgium,Crime Data Specialist,14_25,1,0.01%
Belgium,Data Administrator,14_25,1,0.01%
Belgium,Data Administrator,26_39,1,0.01%
Belgium,Data Administrator,40_65,1,0.01%
Belgium,Data Architect,26_39,2,0.02%
Belgium,Data Architect,40_65,1,0.01%
Belgium,Data Base Design Analyst,40_65,1,0.01%
Belgium,Data Capture Specialist,40_65,1,0.01%
Belgium,Data Collector,26_39,1,0.01%
Belgium,Data Communications Analyst,40_65,1,0.01%
Belgium,Data Coordinator,40_65,1,0.01%
Belgium,Data Entry Associate,14_25,1,0.01%
Belgium,Data Entry Representative,40_65,1,0.01%
Belgium,Data Entry Specialist,26_39,1,0.01%
Belgium,Data Management Associate,14_25,1,0.01%
Belgium,Data Management Information Technology Specialist,40_65,2,0.02%
Belgium,Data Manager,40_65,1,0.01%
Belgium,Data Miner,14_25,1,0.01%
